China,Albania,Argentina,Australia,Bahrain,Bangladesh,Benin,Botswana,Brazil,Bulgaria,Burundi,Cameroon,Canada,Chile,Colombia,Costa_Rica,Denmark,Dominican_Republic,Ecuador,El_Salvador,Finland,France,Gabon,Ghana,Greece,Guatemala,Guinea,Honduras,India,Israel,Italy,Jamaica,Jordan,Kenya,Kuwait,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Mongolia,Morocco,Nepal,Netherlands,Niger,Nigeria,Norway,Oman,Pakistan,Panama,Peru,Philippines,Portugal,Saudi_Arabia,Senegal,Sierra_Leone,Singapore,South_Africa,Spain,Sri_Lanka,Sudan,Sweden,Switzerland,Thailand,Togo,Tunisia,Turkey,Uganda,United_Kingdom,United_States,Uruguay
-0.4135730308677817,-0.4409785140154882,-0.4449193646843043,-0.32964477461788083,-0.3629797582405974,-0.3366680881600487,-0.39489087564516817,-0.3499569042723713,-0.37059276254487783,-0.5179199953551585,-0.40951548675680716,-0.4148476728079368,-0.4138046380872396,-0.4313407049397615,-0.44385446536828377,-0.420123845623024,-0.4135730308677817,-0.4135730308677817,-0.4135730308677817,-0.4135730308677817,-0.4135730308677817,-0.4135730308677817,-0.4135730308677817,-0.4135730308677817,-0.4343348853409604,-0.43116314087492,-0.4285833539284133,-0.4206044664582113,-0.4320497129730949,-0.4334954481672172,-0.4430327752766845,-0.4405796569330954,-0.4161363140239884,-0.4409251868789997,-0.42852158725200995,-0.41418430376518406,-0.4160954527218289,-0.43736099915808396,-0.44313666540925245,-0.42713348562102627,-0.4221528213032711,-0.4411199592820533,-0.4444702031916565,-0.4226642583097753,-0.4748435974457862,-0.44722368242807814,-0.44716890325351616,-0.43916083558353236,-0.446142662902955,-0.45061352243626535,-0.4422170328065828,-0.430194809149951,-0.4609217548802459,-0.40469295638930103,-0.43045903763289506,-0.45141977908865755,-0.4515660618223655,-0.45089853150439224,-0.4376208491200029,-0.4422748725671081,-0.4413212762831297,-0.44667897525765354,-0.440372984318777,-0.4339454427182957,-0.4197182223638056,-0.4451024632382932,-0.4249972909719104,-0.4564370114441913,-0.43864746538954935,-0.4445486927475737,-0.4348355911831096,-0.4423288152682153,-0.4269356991972794
-0.11186962214122938,-0.11026673905420123,-0.11558384426039534,-0.0985428151151265,-0.08561001120062808,-0.09166907130126953,-0.08653308074329102,-0.11067337659864264,-0.10538546978048961,-0.06371530729959803,-0.10724196016283132,-0.10833289719196362,-0.11099341928253512,-0.12480080869025698,-0.12629424163762668,-0.11907318604557039,-0.11186962214122938,-0.11186962214122938,-0.11186962214122938,-0.11186962214122938,-0.11186962214122938,-0.11186962214122938,-0.11186962214122938,-0.11186962214122938,-0.10409047151265342,-0.11898666055351513,-0.12482256472519036,-0.1042429564390036,-0.11522686707553925,-0.12832772145394972,-0.1286436364379505,-0.12626236074887676,-0.10785716058880206,-0.11881647231862201,-0.10810202511094355,-0.08642921146875936,-0.1210253097718698,-0.12851790033020372,-0.12067625267911747,-0.10715957281584036,-0.12740194679662067,-0.11273825147312891,-0.10397311663661064,-0.11829446904219977,-0.12697277773787344,-0.11738623798871611,-0.10060493739319798,-0.11996221445017463,-0.11910453280268887,-0.12995947344946188,-0.12663703125060194,-0.12090878525302882,-0.11366162404368226,-0.11095635489417596,-0.13648199230983254,-0.10906299724367008,-0.10915310061370549,-0.11090783464299278,-0.13195861265918407,-0.11260480726449237,-0.11817003038960376,-0.11590468131577153,-0.1123072961303418,-0.11586715284274406,-0.11743165809416325,-0.13319913331068223,-0.11024778441194086,-0.10877092081289502,-0.12165688521660138,-0.11664654539878375,-0.1205545455782095,-0.12279195881851783,-0.12233410027067163
-0.3100960928144185,-0.306261800344013,-0.32478445356254787,-0.2922923265556211,-0.28216141072581996,-0.29006528787755975,-0.3213552161493552,-0.2809516454105421,-0.3077357127879241,-0.35992870787961223,-0.30627562793439167,-0.31053217050308574,-0.31143168385986775,-0.3019566630128784,-0.30243410539785043,-0.2897056657061525,-0.3100960928144185,-0.3100960928144185,-0.3100960928144185,-0.3100960928144185,-0.3100960928144185,-0.3100960928144185,-0.3100960928144185,-0.3100960928144185,-0.2836051913337304,-0.297221202453043,-0.28944417297295755,-0.31016992296349166,-0.29094775457572875,-0.30936546640765983,-0.3047080976291996,-0.2968401782145365,-0.3171726044675411,-0.3104279199758291,-0.28327663938205055,-0.3094948309741739,-0.2961382654082597,-0.3052214074942786,-0.30541589423569293,-0.2889323070804299,-0.301395620270048,-0.29535750555777246,-0.3175214267764364,-0.3127072462527068,-0.2870758947894383,-0.3072003216656425,-0.2904392605169756,-0.30297480924963427,-0.30776832593524134,-0.3144194673713997,-0.30303023607661933,-0.30678717561458924,-0.3077813926994447,-0.29959625722723965,-0.2944256476140536,-0.3167235732791596,-0.30038767122997295,-0.33545935810170996,-0.30756151302298324,-0.3019137792656025,-0.3003991280623005,-0.31215160485356225,-0.29442303733653796,-0.30510622267290444,-0.2970132154783908,-0.30817332125332864,-0.29489453697487317,-0.29718417346934956,-0.29744922956871145,-0.2914689198824038,-0.30310332640827664,-0.3049511998234965,-0.2941997642877935
-0.08963175970571426,-0.08343425539287659,-0.11409635259667582,-0.11817547574550348,-0.05970573677319334,-0.10639707898789749,-0.1154689982445423,-0.09785481328507954,-0.10943645864251923,-0.05342475358441788,-0.08944089781319028,-0.09033421029992457,-0.09108601017066188,-0.11852102848435783,-0.11645476499757648,-0.1118877097816984,-0.08963175970571426,-0.08963175970571426,-0.08963175970571426,-0.08963175970571426,-0.08963175970571426,-0.08963175970571426,-0.08963175970571426,-0.08963175970571426,-0.11619271181852453,-0.09946882058377424,-0.1123418271735557,-0.11826144969264993,-0.10136310045177874,-0.1171857882791001,-0.11475998561227499,-0.09823183022339269,-0.08954701367140837,-0.10943092646249868,-0.10708458262978322,-0.1011865208253182,-0.09760855324110537,-0.12249068325303529,-0.10046355090904105,-0.11305189899845207,-0.10936507327302727,-0.11021491904098912,-0.09638974622415021,-0.1126634020280442,-0.12338890481203163,-0.10591767904652892,-0.12430061183310566,-0.07031933157414484,-0.10965159773379055,-0.09217336870834852,-0.10820790950646184,-0.10344342172478674,-0.09388142682399388,-0.11923190480687387,-0.11772975084043313,-0.12187610485457587,-0.10892340395566537,-0.10316266053770706,-0.1060682918172381,-0.1091594468291895,-0.1057070573056789,-0.09848008383170255,-0.08069249446264261,-0.11059532870387055,-0.12044994395889828,-0.11943397600136199,-0.11482728989954298,-0.10594656903784018,-0.1110385143093813,-0.10362154085485115,-0.11525145892503784,-0.11113284671742184,-0.11482161361409655
-0.4593532024783374,-0.4467762695692207,-0.4551122464839395,-0.4826034450642841,-0.4753479291703015,-0.4905583905426164,-0.4715214658821285,-0.46231134236385596,-0.4679773491567127,-0.43424205819832973,-0.4629782653638696,-0.4580714412951876,-0.45811369612000385,-0.4800448713540292,-0.47276400004355723,-0.4903975380433197,-0.4593532024783374,-0.4593532024783374,-0.4593532024783374,-0.4593532024783374,-0.4593532024783374,-0.4593532024783374,-0.4593532024783374,-0.4593532024783374,-0.4783840419651306,-0.4726056074220391,-0.4861584682967946,-0.47828893170718,-0.482211059633231,-0.4744314483077791,-0.4683473074398593,-0.4782808902299485,-0.44315908624161066,-0.47749202581322936,-0.4808839043690151,-0.4785592427138054,-0.4770703652610707,-0.47598907979430627,-0.4682466741205413,-0.4895388582713769,-0.4761699899226946,-0.47049314247361634,-0.45249643052915445,-0.462370862538209,-0.4593024178846697,-0.46423729568863775,-0.4763714901696216,-0.4782872658843171,-0.46453617782036194,-0.4592900362923948,-0.4715155238544645,-0.4785962622703719,-0.466009775252158,-0.47276874023521265,-0.479928674313574,-0.46242431617877944,-0.45313471404322936,-0.447534790619226,-0.4657428489335355,-0.4687393199470819,-0.46923149539380216,-0.4750818294038923,-0.474556304309709,-0.4738880624334185,-0.4836819931335285,-0.46580485202624505,-0.4696937393340443,-0.44907039135142024,-0.4714766492403292,-0.4775825888167485,-0.4730698132170201,-0.471099163191946,-0.48459409851600577
-0.5483336889334395,-0.5429149728654455,-0.5353816814663523,-0.5543746478733594,-0.5335508753029932,-0.5356175799417839,-0.5468650854013573,-0.5402417332142371,-0.531783489044381,-0.4537269724837744,-0.5473037237468453,-0.5446150188144975,-0.5457278492769958,-0.5497808854068289,-0.5496461241687826,-0.551755030020855,-0.5483336889334395,-0.5483336889334395,-0.5483336889334395,-0.5483336889334395,-0.5483336889334395,-0.5483336889334395,-0.5483336889334395,-0.5483336889334395,-0.5402644121526113,-0.5650868316407454,-0.5490619415654753,-0.5334320693047806,-0.558987771914275,-0.5518875169858902,-0.5536653839933995,-0.5607922881395007,-0.5361436269651693,-0.5504332449726917,-0.5660924214545349,-0.5693558261042124,-0.558100581033072,-0.5479812534307748,-0.5655803567239573,-0.5379917374452269,-0.5636431055029739,-0.5467529049276052,-0.5454941148377026,-0.5485869843939919,-0.5858397840479338,-0.5524668476913288,-0.5333784171139628,-0.5653586660688118,-0.5490543045051679,-0.5414238910353166,-0.555533393129588,-0.5542300367705217,-0.5740192199220874,-0.5589077474791383,-0.5470736664415223,-0.5327086904539521,-0.5546079760647639,-0.5694532318623902,-0.5566459469054955,-0.5487836921215359,-0.5517385184157946,-0.5440590296406369,-0.5758033541168704,-0.552919299911723,-0.5454508598538829,-0.5524830894224521,-0.5433488751846431,-0.5629372744304587,-0.5483313875360677,-0.5580049752097006,-0.555573708941153,-0.5544088163458708,-0.5502258125387259
-0.2546476178024658,-0.25197712057658117,-0.24271281174208711,-0.2407704271140173,-0.22866364708948725,-0.23906169278522993,-0.26787746613745334,-0.22871050156322195,-0.2535764379798535,-0.28158789814170243,-0.25033278116138485,-0.2538506657845774,-0.2558618194852471,-0.24797846179476218,-0.24432922221856504,-0.2356620534868375,-0.2546476178024658,-0.2546476178024658,-0.2546476178024658,-0.2546476178024658,-0.2546476178024658,-0.2546476178024658,-0.2546476178024658,-0.2546476178024658,-0.2272251695990651,-0.242893866020572,-0.23449697175510836,-0.2555621336646315,-0.2343746403210236,-0.2572463869042046,-0.2500254182724409,-0.24202082537256506,-0.2629516021515533,-0.2555791819739845,-0.22885171522764153,-0.25777318189457,-0.24249454808124368,-0.2510038834896608,-0.25193047360104376,-0.23395443457768256,-0.24933285807780506,-0.23834976528392568,-0.2604645797173576,-0.2595356610108424,-0.23572894142962877,-0.25087641183801307,-0.23097714932938568,-0.2549840607076519,-0.2512947935385332,-0.25863407408152983,-0.24883958866209716,-0.2539892666382822,-0.2522508602461775,-0.24587864193281464,-0.2397319044124273,-0.25616394069124176,-0.24155283541503952,-0.2702210302689184,-0.2549336290619818,-0.245875705525408,-0.24412201438582565,-0.25569974287036173,-0.24038193779891104,-0.2517637584235436,-0.24419677603495463,-0.2550564642009506,-0.2406125453605192,-0.24186527773934807,-0.24167293370657766,-0.23275126376931388,-0.24775905363890474,-0.24976782573540718,-0.24103135192354622
0.432652529338577,0.4231971545661889,0.44106718889078733,0.4518068920325979,0.4328176331844685,0.44023501496011247,0.45264749379711045,0.40135387823274304,0.43558890963589625,0.4294971120671136,0.4342199353698005,0.4297216816725217,0.4307427610002782,0.4478979034573477,0.4387730768261763,0.4562011714149577,0.39665129296222096,0.39678111726560655,0.33220054009650324,0.46915005739523014,0.39503562247806273,0.39483538205998825,0.3891967398561564,0.35408114955707015,0.43375944358345875,0.4478070866162306,0.4529590208557014,0.4388696558430792,0.44439950219920216,0.4476636797298911,0.43863125554275006,0.4479134942937292,0.4169270061515169,0.44804343225970866,0.44616355959887805,0.46203589735365047,0.4512123357109595,0.4425643036519998,0.44537734563392345,0.43816149814358046,0.4505462321644088,0.43499929519955,0.4261125138857888,0.4371878125986218,0.43074380731704115,0.43537002634536764,0.4171501240663043,0.4482729082538788,0.4328569128537924,0.4271281751429417,0.43937343550415103,0.4515460376176476,0.4468184261422431,0.4499337393916191,0.4446358929263486,0.4249586422133245,0.42548545114832526,0.43068037808726034,0.4381786504560822,0.43592812618140053,0.43810721965930244,0.441623110978855,0.4506915251431106,0.44446799675577364,0.4468457975943347,0.43885115876097114,0.43108154479057814,0.42324527054544386,0.4367139374986225,0.442294754872624,0.444589101230007,0.4416532032802888,0.4534915038289477
-0.1607590681809871,-0.1732352244446378,-0.1679927326573394,-0.1519538410146232,-0.16855424506106678,-0.16002937710022494,-0.15017967047060268,-0.14853106775296085,-0.15610718171440438,-0.17415238038083797,-0.16315319747182058,-0.16072096831319177,-0.15929407337124438,-0.1560136047483174,-0.15136749868305732,-0.16231026746349592,-0.1607590681809871,-0.1607590681809871,-0.1607590681809871,-0.1607590681809871,-0.1607590681809871,-0.1607590681809871,-0.1607590681809871,-0.1607590681809871,-0.15912219910859385,-0.16600100245791727,-0.15530169741228586,-0.15663983384467103,-0.16427248491971627,-0.15127757765266425,-0.1525795402349805,-0.16076564041793434,-0.15520420371401017,-0.15507561352876426,-0.17567590998448238,-0.16612298061207023,-0.1621392500205224,-0.15104316506729568,-0.1615225390607969,-0.15981877600946828,-0.1573039264428671,-0.1627175977093027,-0.16118709648089463,-0.15428639246684542,-0.16074841646150995,-0.15952990341817608,-0.15656622232846118,-0.16532001813893327,-0.15603311954651394,-0.14654852642412478,-0.1524600481895846,-0.1572541020216893,-0.16703723105733073,-0.16406110213738734,-0.14463568498619217,-0.1497562426548317,-0.16467818256169006,-0.15855117981493058,-0.15095455566906818,-0.15803928133640868,-0.16104227126663495,-0.1583647601358013,-0.17068492958584597,-0.15741581682322195,-0.15445127850850432,-0.14856827185257324,-0.16130632540596684,-0.16478291604073614,-0.15731379185732597,-0.16412564956169556,-0.1582044700715349,-0.15656781489893798,-0.1569416765754358
-0.06156762410621198,-0.06972910046301775,-0.1107341976596666,-0.03138249660068127,-0.045269957732372995,-0.0771433995919118,-0.09568391685148882,-0.028530010635269252,-0.08737630219530743,-0.0572860447574473,-0.06571746745344119,-0.06208716899587727,-0.06189742564444866,-0.11267442769496427,-0.101465831652292,-0.09468432457638448,-0.06156762410621198,-0.06156762410621198,-0.06156762410621198,-0.06156762410621198,-0.06156762410621198,-0.06156762410621198,-0.06156762410621198,-0.06156762410621198,-0.09160730267923413,-0.08354803978030807,-0.08039899289820089,-0.10564646873668762,-0.09934951830954053,-0.10022738696102418,-0.09622550498814532,-0.07344656727610314,-0.06000694364568379,-0.09602945311374446,-0.0986510284628442,-0.10466993376566987,-0.07692098739443556,-0.10851387169794467,-0.07799772393622936,-0.08622382949269469,-0.09999926053909473,-0.09404759853270175,-0.07853794097899186,-0.09734630259327734,-0.11449196535091301,-0.09822781545859241,-0.09640187307824571,-0.05107017003459151,-0.0951223931858403,-0.06439301439023078,-0.08777918748289422,-0.08268077035352343,-0.08210567010718288,-0.11460021003728182,-0.09227585202489108,-0.10298199393140131,-0.09328003669180178,-0.09411592866809483,-0.061793370614141065,-0.0934961257414914,-0.0862948535916819,-0.06713691021524817,-0.06407727694973737,-0.10382261027759848,-0.11579089511649095,-0.10421861853065545,-0.09909957675810908,-0.09173679183074329,-0.0922596462522589,-0.08070273497349086,-0.11201718616371494,-0.09874294712640953,-0.09409630447781646
